@#squadnamecombine=GROUND PROTECTION TEAM
@#squadnamecombine=STABILIZATION TEAM
@#squadnamecombine=FALLOUT 7-3
@#squadnamecombine=FALLOUT 8-1
@#squadnamecombine=FALLOUT 8-2
@#squadnamecombine=FALLOUT 8-3
@#squadnamecombine=FALLOUT 9-1
@#squadnamecombine=FALLOUT 9-2
@#squadnamecombine=FALLOUT 9-3

@#squadnamecombine=GHOST 1-1
@#squadnamecombine=GHOST 1-2
@#squadnamecombine=GHOST 1-3
@#squadnamecombine=GHOST 2-1
@#squadnamecombine=GHOST 2-2
@#squadnamecombine=GHOST 2-3
@#squadnamecombine=GHOST 3-1
@#squadnamecombine=GHOST 3-2
@#squadnamecombine=GHOST 3-3
@#squadnamecombine=GHOST 4-1
@#squadnamecombine=GHOST 4-2
@#squadnamecombine=GHOST 4-3
@#squadnamecombine=GHOST 5-1
@#squadnamecombine=GHOST 5-2
@#squadnamecombine=GHOST 5-3
@#squadnamecombine=GHOST 6-1
@#squadnamecombine=GHOST 6-2
@#squadnamecombine=GHOST 6-3
@#squadnamecombine=GHOST 7-1
@#squadnamecombine=GHOST 7-2
@#squadnamecombine=GHOST 7-3
@#squadnamecombine=GHOST 8-1
@#squadnamecombine=GHOST 8-2
@#squadnamecombine=GHOST 8-3
@#squadnamecombine=GHOST 9-1
@#squadnamecombine=GHOST 9-2
@#squadnamecombine=GHOST 9-3

@#squadnamecombine=HELIX 1-1
@#squadnamecombine=HELIX 1-2
@#squadnamecombine=HELIX 1-3
@#squadnamecombine=HELIX 2-1
@#squadnamecombine=HELIX 2-2
@#squadnamecombine=HELIX 2-3
@#squadnamecombine=HELIX 3-1
@#squadnamecombine=HELIX 3-2
@#squadnamecombine=HELIX 3-3
@#squadnamecombine=HELIX 4-1
@#squadnamecombine=HELIX 4-2
@#squadnamecombine=HELIX 4-3
@#squadnamecombine=HELIX 5-1
@#squadnamecombine=HELIX 5-2
@#squadnamecombine=HELIX 5-3
@#squadnamecombine=HELIX 6-1
@#squadnamecombine=HELIX 6-2
@#squadnamecombine=HELIX 6-3
@#squadnamecombine=HELIX 7-1
@#squadnamecombine=HELIX 7-2
@#squadnamecombine=HELIX 7-3
@#squadnamecombine=HELIX 8-1
@#squadnamecombine=HELIX 8-2
@#squadnamecombine=HELIX 8-3
@#squadnamecombine=HELIX 9-1
@#squadnamecombine=HELIX 9-2
@#squadnamecombine=HELIX 9-3

@#squadnamecombine=INFERNO 1-1
@#squadnamecombine=INFERNO 1-2
@#squadnamecombine=INFERNO 1-3
@#squadnamecombine=INFERNO 2-1
@#squadnamecombine=INFERNO 2-2
@#squadnamecombine=INFERNO 2-3
@#squadnamecombine=INFERNO 3-1
@#squadnamecombine=INFERNO 3-2
@#squadnamecombine=INFERNO 3-3
@#squadnamecombine=INFERNO 4-1
@#squadnamecombine=INFERNO 4-2
@#squadnamecombine=INFERNO 4-3
@#squadnamecombine=INFERNO 5-1
@#squadnamecombine=INFERNO 5-2
@#squadnamecombine=INFERNO 5-3
@#squadnamecombine=INFERNO 6-1
@#squadnamecombine=INFERNO 6-2
@#squadnamecombine=INFERNO 6-3
@#squadnamecombine=INFERNO 7-1
@#squadnamecombine=INFERNO 7-2
@#squadnamecombine=INFERNO 7-3
@#squadnamecombine=INFERNO 8-1
@#squadnamecombine=INFERNO 8-2
@#squadnamecombine=INFERNO 8-3
@#squadnamecombine=INFERNO 9-1
@#squadnamecombine=INFERNO 9-2
@#squadnamecombine=INFERNO 9-3

@#squadnamecombine=JUDGE 1-1
@#squadnamecombine=JUDGE 1-2
@#squadnamecombine=JUDGE 1-3
@#squadnamecombine=JUDGE 2-1
@#squadnamecombine=JUDGE 2-2
@#squadnamecombine=JUDGE 2-3
@#squadnamecombine=JUDGE 3-1
@#squadnamecombine=JUDGE 3-2
@#squadnamecombine=JUDGE 3-3
@#squadnamecombine=JUDGE 4-1
@#squadnamecombine=JUDGE 4-2
@#squadnamecombine=JUDGE 4-3
@#squadnamecombine=JUDGE 5-1
@#squadnamecombine=JUDGE 5-2
@#squadnamecombine=JUDGE 5-3
@#squadnamecombine=JUDGE 6-1
@#squadnamecombine=JUDGE 6-2
@#squadnamecombine=JUDGE 6-3
@#squadnamecombine=JUDGE 7-1
@#squadnamecombine=JUDGE 7-2
@#squadnamecombine=JUDGE 7-3
@#squadnamecombine=JUDGE 8-1
@#squadnamecombine=JUDGE 8-2
@#squadnamecombine=JUDGE 8-3
@#squadnamecombine=JUDGE 9-1
@#squadnamecombine=JUDGE 9-2
@#squadnamecombine=JUDGE 9-3

@#squadnamecombine=KILO 1-1
@#squadnamecombine=KILO 1-2
@#squadnamecombine=KILO 1-3
@#squadnamecombine=KILO 2-1
@#squadnamecombine=KILO 2-2
@#squadnamecombine=KILO 2-3
@#squadnamecombine=KILO 3-1
@#squadnamecombine=KILO 3-2
@#squadnamecombine=KILO 3-3
@#squadnamecombine=KILO 4-1
@#squadnamecombine=KILO 4-2
@#squadnamecombine=KILO 4-3
@#squadnamecombine=KILO 5-1
@#squadnamecombine=KILO 5-2
@#squadnamecombine=KILO 5-3
@#squadnamecombine=KILO 6-1
@#squadnamecombine=KILO 6-2
@#squadnamecombine=KILO 6-3
@#squadnamecombine=KILO 7-1
@#squadnamecombine=KILO 7-2
@#squadnamecombine=KILO 7-3
@#squadnamecombine=KILO 8-1
@#squadnamecombine=KILO 8-2
@#squadnamecombine=KILO 8-3
@#squadnamecombine=KILO 9-1
@#squadnamecombine=KILO 9-2
@#squadnamecombine=KILO 9-3

@#squadnamecombine=LEADER 1-1
@#squadnamecombine=LEADER 1-2
@#squadnamecombine=LEADER 1-3
@#squadnamecombine=LEADER 2-1
@#squadnamecombine=LEADER 2-2
@#squadnamecombine=LEADER 2-3
@#squadnamecombine=LEADER 3-1
@#squadnamecombine=LEADER 3-2
@#squadnamecombine=LEADER 3-3
@#squadnamecombine=LEADER 4-1
@#squadnamecombine=LEADER 4-2
@#squadnamecombine=LEADER 4-3
@#squadnamecombine=LEADER 5-1
@#squadnamecombine=LEADER 5-2
@#squadnamecombine=LEADER 5-3
@#squadnamecombine=LEADER 6-1
@#squadnamecombine=LEADER 6-2
@#squadnamecombine=LEADER 6-3
@#squadnamecombine=LEADER 7-1
@#squadnamecombine=LEADER 7-2
@#squadnamecombine=LEADER 7-3
@#squadnamecombine=LEADER 8-1
@#squadnamecombine=LEADER 8-2
@#squadnamecombine=LEADER 8-3
@#squadnamecombine=LEADER 9-1
@#squadnamecombine=LEADER 9-2
@#squadnamecombine=LEADER 9-3

@#squadnamecombine=MACE 1-1
@#squadnamecombine=MACE 1-2
@#squadnamecombine=MACE 1-3
@#squadnamecombine=MACE 2-1
@#squadnamecombine=MACE 2-2
@#squadnamecombine=MACE 2-3
@#squadnamecombine=MACE 3-1
@#squadnamecombine=MACE 3-2
@#squadnamecombine=MACE 3-3
@#squadnamecombine=MACE 4-1
@#squadnamecombine=MACE 4-2
@#squadnamecombine=MACE 4-3
@#squadnamecombine=MACE 5-1
@#squadnamecombine=MACE 5-2
@#squadnamecombine=MACE 5-3
@#squadnamecombine=MACE 6-1
@#squadnamecombine=MACE 6-2
@#squadnamecombine=MACE 6-3
@#squadnamecombine=MACE 7-1
@#squadnamecombine=MACE 7-2
@#squadnamecombine=MACE 7-3
@#squadnamecombine=MACE 8-1
@#squadnamecombine=MACE 8-2
@#squadnamecombine=MACE 8-3
@#squadnamecombine=MACE 9-1
@#squadnamecombine=MACE 9-2
@#squadnamecombine=MACE 9-3

@#squadnamecombine=NOMAD 1-1
@#squadnamecombine=NOMAD 1-2
@#squadnamecombine=NOMAD 1-3
@#squadnamecombine=NOMAD 2-1
@#squadnamecombine=NOMAD 2-2
@#squadnamecombine=NOMAD 2-3
@#squadnamecombine=NOMAD 3-1
@#squadnamecombine=NOMAD 3-2
@#squadnamecombine=NOMAD 3-3
@#squadnamecombine=NOMAD 4-1
@#squadnamecombine=NOMAD 4-2
@#squadnamecombine=NOMAD 4-3
@#squadnamecombine=NOMAD 5-1
@#squadnamecombine=NOMAD 5-2
@#squadnamecombine=NOMAD 5-3
@#squadnamecombine=NOMAD 6-1
@#squadnamecombine=NOMAD 6-2
@#squadnamecombine=NOMAD 6-3
@#squadnamecombine=NOMAD 7-1
@#squadnamecombine=NOMAD 7-2
@#squadnamecombine=NOMAD 7-3
@#squadnamecombine=NOMAD 8-1
@#squadnamecombine=NOMAD 8-2
@#squadnamecombine=NOMAD 8-3
@#squadnamecombine=NOMAD 9-1
@#squadnamecombine=NOMAD 9-2
@#squadnamecombine=NOMAD 9-3

@#squadnamecombine=OMEGA 1-1
@#squadnamecombine=OMEGA 1-2
@#squadnamecombine=OMEGA 1-3
@#squadnamecombine=OMEGA 2-1
@#squadnamecombine=OMEGA 2-2
@#squadnamecombine=OMEGA 2-3
@#squadnamecombine=OMEGA 3-1
@#squadnamecombine=OMEGA 3-2
@#squadnamecombine=OMEGA 3-3
@#squadnamecombine=OMEGA 4-1
@#squadnamecombine=OMEGA 4-2
@#squadnamecombine=OMEGA 4-3
@#squadnamecombine=OMEGA 5-1
@#squadnamecombine=OMEGA 5-2
@#squadnamecombine=OMEGA 5-3
@#squadnamecombine=OMEGA 6-1
@#squadnamecombine=OMEGA 6-2
@#squadnamecombine=OMEGA 6-3
@#squadnamecombine=OMEGA 7-1
@#squadnamecombine=OMEGA 7-2
@#squadnamecombine=OMEGA 7-3
@#squadnamecombine=OMEGA 8-1
@#squadnamecombine=OMEGA 8-2
@#squadnamecombine=OMEGA 8-3
@#squadnamecombine=OMEGA 9-1
@#squadnamecombine=OMEGA 9-2
@#squadnamecombine=OMEGA 9-3

@#squadnamecombine=PHANTOM 1-1
@#squadnamecombine=PHANTOM 1-2
@#squadnamecombine=PHANTOM 1-3
@#squadnamecombine=PHANTOM 2-1
@#squadnamecombine=PHANTOM 2-2
@#squadnamecombine=PHANTOM 2-3
@#squadnamecombine=PHANTOM 3-1
@#squadnamecombine=PHANTOM 3-2
@#squadnamecombine=PHANTOM 3-3
@#squadnamecombine=PHANTOM 4-1
@#squadnamecombine=PHANTOM 4-2
@#squadnamecombine=PHANTOM 4-3
@#squadnamecombine=PHANTOM 5-1
@#squadnamecombine=PHANTOM 5-2
@#squadnamecombine=PHANTOM 5-3
@#squadnamecombine=PHANTOM 6-1
@#squadnamecombine=PHANTOM 6-2
@#squadnamecombine=PHANTOM 6-3
@#squadnamecombine=PHANTOM 7-1
@#squadnamecombine=PHANTOM 7-2
@#squadnamecombine=PHANTOM 7-3
@#squadnamecombine=PHANTOM 8-1
@#squadnamecombine=PHANTOM 8-2
@#squadnamecombine=PHANTOM 8-3
@#squadnamecombine=PHANTOM 9-1
@#squadnamecombine=PHANTOM 9-2
@#squadnamecombine=PHANTOM 9-3

@#squadnamecombine=QUANTUM 1-1
@#squadnamecombine=QUANTUM 1-2
@#squadnamecombine=QUANTUM 1-3
@#squadnamecombine=QUANTUM 2-1
@#squadnamecombine=QUANTUM 2-2
@#squadnamecombine=QUANTUM 2-3
@#squadnamecombine=QUANTUM 3-1
@#squadnamecombine=QUANTUM 3-2
@#squadnamecombine=QUANTUM 3-3
@#squadnamecombine=QUANTUM 4-1
@#squadnamecombine=QUANTUM 4-2
@#squadnamecombine=QUANTUM 4-3
@#squadnamecombine=QUANTUM 5-1
@#squadnamecombine=QUANTUM 5-2
@#squadnamecombine=QUANTUM 5-3
@#squadnamecombine=QUANTUM 6-1
@#squadnamecombine=QUANTUM 6-2
@#squadnamecombine=QUANTUM 6-3
@#squadnamecombine=QUANTUM 7-1
@#squadnamecombine=QUANTUM 7-2
@#squadnamecombine=QUANTUM 7-3
@#squadnamecombine=QUANTUM 8-1
@#squadnamecombine=QUANTUM 8-2
@#squadnamecombine=QUANTUM 8-3
@#squadnamecombine=QUANTUM 9-1
@#squadnamecombine=QUANTUM 9-2
@#squadnamecombine=QUANTUM 9-3

@#squadnamecombine=RAZOR 1-1
@#squadnamecombine=RAZOR 1-2
@#squadnamecombine=RAZOR 1-3
@#squadnamecombine=RAZOR 2-1
@#squadnamecombine=RAZOR 2-2
@#squadnamecombine=RAZOR 2-3
@#squadnamecombine=RAZOR 3-1
@#squadnamecombine=RAZOR 3-2
@#squadnamecombine=RAZOR 3-3
@#squadnamecombine=RAZOR 4-1
@#squadnamecombine=RAZOR 4-2
@#squadnamecombine=RAZOR 4-3
@#squadnamecombine=RAZOR 5-1
@#squadnamecombine=RAZOR 5-2
@#squadnamecombine=RAZOR 5-3
@#squadnamecombine=RAZOR 6-1
@#squadnamecombine=RAZOR 6-2
@#squadnamecombine=RAZOR 6-3
@#squadnamecombine=RAZOR 7-1
@#squadnamecombine=RAZOR 7-2
@#squadnamecombine=RAZOR 7-3
@#squadnamecombine=RAZOR 8-1
@#squadnamecombine=RAZOR 8-2
@#squadnamecombine=RAZOR 8-3
@#squadnamecombine=RAZOR 9-1
@#squadnamecombine=RAZOR 9-2
@#squadnamecombine=RAZOR 9-3

@#squadnamecombine=SUNDOWN 1-1
@#squadnamecombine=SUNDOWN 1-2
@#squadnamecombine=SUNDOWN 1-3
@#squadnamecombine=SUNDOWN 2-1
@#squadnamecombine=SUNDOWN 2-2
@#squadnamecombine=SUNDOWN 2-3
@#squadnamecombine=SUNDOWN 3-1
@#squadnamecombine=SUNDOWN 3-2
@#squadnamecombine=SUNDOWN 3-3
@#squadnamecombine=SUNDOWN 4-1
@#squadnamecombine=SUNDOWN 4-2
@#squadnamecombine=SUNDOWN 4-3
@#squadnamecombine=SUNDOWN 5-1
@#squadnamecombine=SUNDOWN 5-2
@#squadnamecombine=SUNDOWN 5-3
@#squadnamecombine=SUNDOWN 6-1
@#squadnamecombine=SUNDOWN 6-2
@#squadnamecombine=SUNDOWN 6-3
@#squadnamecombine=SUNDOWN 7-1
@#squadnamecombine=SUNDOWN 7-2
@#squadnamecombine=SUNDOWN 7-3
@#squadnamecombine=SUNDOWN 8-1
@#squadnamecombine=SUNDOWN 8-2
@#squadnamecombine=SUNDOWN 8-3
@#squadnamecombine=SUNDOWN 9-1
@#squadnamecombine=SUNDOWN 9-2
@#squadnamecombine=SUNDOWN 9-3

@#squadnamecombine=TANGO 1-1
@#squadnamecombine=TANGO 1-2
@#squadnamecombine=TANGO 1-3
@#squadnamecombine=TANGO 2-1
@#squadnamecombine=TANGO 2-2
@#squadnamecombine=TANGO 2-3
@#squadnamecombine=TANGO 3-1
@#squadnamecombine=TANGO 3-2
@#squadnamecombine=TANGO 3-3
@#squadnamecombine=TANGO 4-1
@#squadnamecombine=TANGO 4-2
@#squadnamecombine=TANGO 4-3
@#squadnamecombine=TANGO 5-1
@#squadnamecombine=TANGO 5-2
@#squadnamecombine=TANGO 5-3
@#squadnamecombine=TANGO 6-1
@#squadnamecombine=TANGO 6-2
@#squadnamecombine=TANGO 6-3
@#squadnamecombine=TANGO 7-1
@#squadnamecombine=TANGO 7-2
@#squadnamecombine=TANGO 7-3
@#squadnamecombine=TANGO 8-1
@#squadnamecombine=TANGO 8-2
@#squadnamecombine=TANGO 8-3
@#squadnamecombine=TANGO 9-1
@#squadnamecombine=TANGO 9-2
@#squadnamecombine=TANGO 9-3

@#squadnamecombine=UNIFORM 1-1
@#squadnamecombine=UNIFORM 1-2
@#squadnamecombine=UNIFORM 1-3
@#squadnamecombine=UNIFORM 2-1
@#squadnamecombine=UNIFORM 2-2
@#squadnamecombine=UNIFORM 2-3
@#squadnamecombine=UNIFORM 3-1
@#squadnamecombine=UNIFORM 3-2
@#squadnamecombine=UNIFORM 3-3
@#squadnamecombine=UNIFORM 4-1
@#squadnamecombine=UNIFORM 4-2
@#squadnamecombine=UNIFORM 4-3
@#squadnamecombine=UNIFORM 5-1
@#squadnamecombine=UNIFORM 5-2
@#squadnamecombine=UNIFORM 5-3
@#squadnamecombine=UNIFORM 6-1
@#squadnamecombine=UNIFORM 6-2
@#squadnamecombine=UNIFORM 6-3
@#squadnamecombine=UNIFORM 7-1
@#squadnamecombine=UNIFORM 7-2
@#squadnamecombine=UNIFORM 7-3
@#squadnamecombine=UNIFORM 8-1
@#squadnamecombine=UNIFORM 8-2
@#squadnamecombine=UNIFORM 8-3
@#squadnamecombine=UNIFORM 9-1
@#squadnamecombine=UNIFORM 9-2
@#squadnamecombine=UNIFORM 9-3

@#squadnamecombine=VICTOR 1-1
@#squadnamecombine=VICTOR 1-2
@#squadnamecombine=VICTOR 1-3
@#squadnamecombine=VICTOR 2-1
@#squadnamecombine=VICTOR 2-2
@#squadnamecombine=VICTOR 2-3
@#squadnamecombine=VICTOR 3-1
@#squadnamecombine=VICTOR 3-2
@#squadnamecombine=VICTOR 3-3
@#squadnamecombine=VICTOR 4-1
@#squadnamecombine=VICTOR 4-2
@#squadnamecombine=VICTOR 4-3
@#squadnamecombine=VICTOR 5-1
@#squadnamecombine=VICTOR 5-2
@#squadnamecombine=VICTOR 5-3
@#squadnamecombine=VICTOR 6-1
@#squadnamecombine=VICTOR 6-2
@#squadnamecombine=VICTOR 6-3
@#squadnamecombine=VICTOR 7-1
@#squadnamecombine=VICTOR 7-2
@#squadnamecombine=VICTOR 7-3
@#squadnamecombine=VICTOR 8-1
@#squadnamecombine=VICTOR 8-2
@#squadnamecombine=VICTOR 8-3
@#squadnamecombine=VICTOR 9-1
@#squadnamecombine=VICTOR 9-2
@#squadnamecombine=VICTOR 9-3

@#squadnamecombine=WOLF 1-1
@#squadnamecombine=WOLF 1-2
@#squadnamecombine=WOLF 1-3
@#squadnamecombine=WOLF 2-1
@#squadnamecombine=WOLF 2-2
@#squadnamecombine=WOLF 2-3
@#squadnamecombine=WOLF 3-1
@#squadnamecombine=WOLF 3-2
@#squadnamecombine=WOLF 3-3
@#squadnamecombine=WOLF 4-1
@#squadnamecombine=WOLF 4-2
@#squadnamecombine=WOLF 4-3
@#squadnamecombine=WOLF 5-1
@#squadnamecombine=WOLF 5-2
@#squadnamecombine=WOLF 5-3
@#squadnamecombine=WOLF 6-1
@#squadnamecombine=WOLF 6-2
@#squadnamecombine=WOLF 6-3
@#squadnamecombine=WOLF 7-1
@#squadnamecombine=WOLF 7-2
@#squadnamecombine=WOLF 7-3
@#squadnamecombine=WOLF 8-1
@#squadnamecombine=WOLF 8-2
@#squadnamecombine=WOLF 8-3
@#squadnamecombine=WOLF 9-1
@#squadnamecombine=WOLF 9-2
@#squadnamecombine=WOLF 9-3

@#squadnamecombine=X-RAY 1-1
@#squadnamecombine=X-RAY 1-2
@#squadnamecombine=X-RAY 1-3
@#squadnamecombine=X-RAY 2-1
@#squadnamecombine=X-RAY 2-2
@#squadnamecombine=X-RAY 2-3
@#squadnamecombine=X-RAY 3-1
@#squadnamecombine=X-RAY 3-2
@#squadnamecombine=X-RAY 3-3
@#squadnamecombine=X-RAY 4-1
@#squadnamecombine=X-RAY 4-2
@#squadnamecombine=X-RAY 4-3
@#squadnamecombine=X-RAY 5-1
@#squadnamecombine=X-RAY 5-2
@#squadnamecombine=X-RAY 5-3
@#squadnamecombine=X-RAY 6-1
@#squadnamecombine=X-RAY 6-2
@#squadnamecombine=X-RAY 6-3
@#squadnamecombine=X-RAY 7-1
@#squadnamecombine=X-RAY 7-2
@#squadnamecombine=X-RAY 7-3
@#squadnamecombine=X-RAY 8-1
@#squadnamecombine=X-RAY 8-2
@#squadnamecombine=X-RAY 8-3
@#squadnamecombine=X-RAY 9-1
@#squadnamecombine=X-RAY 9-2
@#squadnamecombine=X-RAY 9-3

@#squadnamecombine=YETI 1-1
@#squadnamecombine=YETI 1-2
@#squadnamecombine=YETI 1-3
@#squadnamecombine=YETI 2-1
@#squadnamecombine=YETI 2-2
@#squadnamecombine=YETI 2-3
@#squadnamecombine=YETI 3-1
@#squadnamecombine=YETI 3-2
@#squadnamecombine=YETI 3-3
@#squadnamecombine=YETI 4-1
@#squadnamecombine=YETI 4-2
@#squadnamecombine=YETI 4-3
@#squadnamecombine=YETI 5-1
@#squadnamecombine=YETI 5-2
@#squadnamecombine=YETI 5-3
@#squadnamecombine=YETI 6-1
@#squadnamecombine=YETI 6-2
@#squadnamecombine=YETI 6-3
@#squadnamecombine=YETI 7-1
@#squadnamecombine=YETI 7-2
@#squadnamecombine=YETI 7-3
@#squadnamecombine=YETI 8-1
@#squadnamecombine=YETI 8-2
@#squadnamecombine=YETI 8-3
@#squadnamecombine=YETI 9-1
@#squadnamecombine=YETI 9-2
@#squadnamecombine=YETI 9-3

@#squadnamecombine=ZEPHYR 1-1
@#squadnamecombine=ZEPHYR 1-2
@#squadnamecombine=ZEPHYR 1-3
@#squadnamecombine=ZEPHYR 2-1
@#squadnamecombine=ZEPHYR 2-2
@#squadnamecombine=ZEPHYR 2-3
@#squadnamecombine=ZEPHYR 3-1
@#squadnamecombine=ZEPHYR 3-2
@#squadnamecombine=ZEPHYR 3-3
@#squadnamecombine=ZEPHYR 4-1
@#squadnamecombine=ZEPHYR 4-2
@#squadnamecombine=ZEPHYR 4-3
@#squadnamecombine=ZEPHYR 5-1
@#squadnamecombine=ZEPHYR 5-2
@#squadnamecombine=ZEPHYR 5-3
@#squadnamecombine=ZEPHYR 6-1
@#squadnamecombine=ZEPHYR 6-2
@#squadnamecombine=ZEPHYR 6-3
@#squadnamecombine=ZEPHYR 7-1
@#squadnamecombine=ZEPHYR 7-2
@#squadnamecombine=ZEPHYR 7-3
@#squadnamecombine=ZEPHYR 8-1
@#squadnamecombine=ZEPHYR 8-2
@#squadnamecombine=ZEPHYR 8-3
@#squadnamecombine=ZEPHYR 9-1
@#squadnamecombine=ZEPHYR 9-2
@#squadnamecombine=ZEPHYR 9-3
